ticker,name,sector,asset_type,current_price,market_cap,revenue,net_income,total_equity,net_debt,roe,net_margin,debt_ebitda,ev_ebitda,net_income_growth_yoy,pe_ratio,pb_ratio,dividend_yield,dividend_growth_yoy,score,score_label
LETO5,MITTO PNA,Siderurgia e Metalurgia,stock,206.0,8248140.0,0.0,-9996000.0,-58642000.0,2281000.0,1.7,0.0,,,,-83.0,,0.0,,47.75,Regular
LEVE3,MAHLE METAL LEVE ON,Automóveis e Motocicletas,stock,3318.0,4497180000.0,5396400000.0,664253000.0,1071200000.0,994017000.0,,,,,0.02497,,,0.86,,51.25,Bom
LEVE4,MAHLE METAL LEVE PN,Automóveis e Motocicletas,stock,4449.0,6030130000.0,5396400000.0,664253000.0,1071200000.0,994017000.0,,,,,,,,0.0,,52.5,Bom
LFFE3,LA FONTE TELECOM S/A ON,,stock,311.0,169122000.0,0.0,-43120000.0,51892000.0,-27018000.0,,0.0,,,,-392.0,,0.0,,22.75,Fraco
LFFE4,LA FONTE TELECOM S/A PN,,stock,389.0,211538000.0,0.0,-43120000.0,51892000.0,-27018000.0,,0.0,,,,-491.0,,0.0,,22.75,Fraco
LGLO4,LIVRARIA DO GLOBO S/A PN,,stock,10000.0,3400000.0,15113000.0,-3245000.0,5191000.0,2422000.0,,,,,,-105.0,65.0,0.0,,24.0,Fraco
LIGH3,LIGHT ON,Energia Elétrica,stock,1666.0,6544870000.0,13545600000.0,2614810000.0,8283420000.0,6139210000.0,3.16,,,,,250.0,79.0,0.0,,52.5,Bom
LIGT3,LIGHT SA ON,Energia Elétrica,stock,393.0,1464140000.0,15300300000.0,2615270000.0,8323140000.0,8418380000.0,3.14,,,,,56.0,18.0,0.0,,50.0,Bom
LINX3,LINX ON NM,Programas e Serviços,stock,3740.0,7083900000.0,898430000.0,-77890000.0,1619010000.0,-223210000.0,-0.48,-0.87,,,,,,0.15,,26.5,Regular
LIPR3,LIGHTPAR ON,Energia Elétrica,stock,3601.0,423658000.0,0.0,25463000.0,232276000.0,-69313000.0,1.1,0.0,,,,,,0.39,,53.75,Bom
